_type_of	-0.010129	-0.016016	0.017999	0.023953	0.015278	-0.026305	0.016739	-0.021573	-0.004721	-0.020571	-0.016426	0.022631	0.053707	-0.021534	0.064051	-0.007460	0.006175	0.180438	-0.020505	-0.020924	-0.024407	-0.011438	-0.026232	0.005757	-0.026565	-0.019730	-0.003906	0.020403	-0.016835	0.019790	0.008561	0.024830	0.035690	0.028171	0.183484	0.018488	0.029468	-0.022654	-0.026693	-0.021683	0.000083	0.026332	0.020335	-0.011564	-0.017830	-0.027249	-0.007578	0.123558	0.025965	-0.019948	0.007975	-0.018401	0.166919	-0.011197	-0.015460	-0.027224	0.019781	0.233281	0.023629	0.018212	-0.024501	-0.021378	0.018505	-0.016017	-0.043555	0.023135	0.010258	0.014717	-0.022724	-0.021713	0.025832	-0.012560	0.020069	-0.006153	0.033273	-0.019950	0.012134	0.003540	0.019030	-0.002136	0.018002	-0.018713	-0.009560	0.198001	-0.015646	0.022523	0.156579	-0.019416	-0.020217	0.010557	-0.023326	-0.063587	0.022238	-0.022742	-0.020908	-0.211992	-0.025536	0.019399	-0.020174	-0.021506	
_synset_domain_topic	0.050903	-0.075260	0.069617	0.046253	0.024239	0.041981	0.020564	-0.068510	-0.048967	0.123343	-0.007484	-0.073132	0.103011	-0.062615	0.143973	0.051136	0.025542	0.107910	0.008635	-0.054817	-0.080161	0.130721	-0.122109	-0.005018	-0.062129	-0.071210	0.020096	-0.028603	0.005719	-0.046399	-0.021323	0.059625	-0.011576	-0.057945	0.183361	0.123050	0.060310	-0.088569	0.053381	-0.024922	-0.000756	0.035364	-0.011144	0.067620	-0.053366	-0.083824	0.045876	0.106879	-0.030213	0.051219	-0.026483	-0.070389	-0.220100	0.023256	-0.072553	0.024101	0.054273	-0.021225	0.099278	0.052244	0.015304	-0.063093	0.001772	-0.032137	0.053858	-0.047774	0.058521	0.071483	-0.092404	0.056859	-0.010550	0.027684	-0.032465	-0.004568	0.039024	-0.080569	-0.048297	-0.067335	-0.008999	0.015892	-0.050458	0.068659	-0.058798	0.216342	-0.039979	-0.011864	0.193843	0.048241	0.016373	0.034191	-0.035682	-0.137285	0.042930	0.103445	-0.061745	0.013070	0.074302	0.061226	0.064571	0.050074	
_has_instance	-0.139638	0.023076	-0.013381	-0.027072	-0.014602	0.017067	-0.013715	0.021440	0.007044	0.017824	0.013890	-0.026112	-0.063951	0.023927	-0.056640	0.166422	-0.002529	-0.185125	-0.115799	0.016114	0.018734	0.014156	0.025981	-0.007335	0.029550	0.018627	0.008740	-0.010875	0.019366	-0.024018	-0.129333	-0.018927	-0.034070	-0.026022	-0.192962	-0.020916	-0.021369	0.021143	0.014021	0.014223	0.009669	-0.025730	-0.019660	0.161432	0.013275	0.013866	-0.004944	-0.115001	-0.024173	0.020615	-0.097692	0.022257	-0.162942	0.010798	0.015327	0.024800	-0.014402	-0.242777	-0.024106	-0.015925	0.018376	0.023298	-0.022098	0.013928	0.029019	-0.017072	-0.149697	-0.013344	0.015098	0.018072	-0.021088	0.145345	-0.018926	0.006787	-0.029348	0.019057	-0.014505	0.001596	-0.012865	0.005863	-0.016758	0.018412	0.014918	-0.196112	0.000404	-0.021687	-0.161952	0.026491	0.013840	0.134660	0.020023	0.055052	-0.025250	0.020602	0.012022	0.205696	0.024754	-0.019587	0.031547	0.021228	
_member_holonym	-0.027526	-0.035419	-0.033976	0.030309	0.023581	-0.022396	-0.023239	-0.027668	0.031444	-0.017374	0.026206	0.016297	-0.024743	-0.024769	0.011533	0.026722	0.039001	0.034117	0.019840	0.019924	0.140150	-0.008241	-0.013430	0.039196	-0.009847	-0.027304	-0.024910	0.018406	0.025958	-0.041753	-0.023470	-0.003226	0.027666	0.019441	0.003258	-0.022334	-0.037426	0.046545	-0.019773	0.053867	-0.035411	0.001089	0.022640	-0.018729	-0.044087	0.055184	0.034595	-0.014654	0.002081	-0.004859	-0.020381	-0.023529	0.012332	-0.017414	-0.129872	-0.015767	0.026827	-0.015282	0.023869	-0.042549	-0.035767	-0.026995	0.022853	0.004950	-0.025167	0.018336	0.010303	-0.015305	0.029937	0.027025	-0.013532	-0.018293	0.029923	-0.026902	0.027175	-0.017644	0.001211	0.011417	-0.038934	-0.027177	-0.018777	0.045405	-0.023936	-0.035325	-0.027124	0.025649	-0.264617	0.020368	0.029663	0.027493	-0.033173	-0.036110	0.009708	0.008352	0.029825	-0.006986	0.011399	0.030999	-0.029864	0.009735	
_part_of	0.008907	-0.037469	0.020819	0.050280	-0.020080	-0.012601	-0.033835	0.026879	0.032620	-0.019838	-0.011784	-0.120315	-0.002791	0.015230	0.148586	0.032775	0.010817	-0.004665	-0.023701	-0.091966	-0.095617	-0.023738	-0.054012	0.019607	0.126938	0.031409	0.021812	0.023815	-0.014020	-0.026696	0.022928	0.013932	-0.012552	-0.037431	0.218522	0.093007	-0.022643	-0.021836	0.014777	-0.010142	-0.001302	-0.077637	0.038426	0.032298	-0.036604	-0.021901	-0.004326	-0.057130	0.007606	0.049747	0.001071	0.013075	0.022381	-0.034306	-0.049100	-0.001544	-0.002198	0.031003	0.044833	-0.027457	0.011953	0.003088	-0.034092	0.050369	-0.042752	0.017049	0.030815	0.052510	0.021690	-0.006504	0.014017	-0.013748	0.033850	0.015996	0.034164	-0.009124	-0.033481	-0.003571	0.016691	-0.009915	0.038707	-0.004827	0.011389	0.108864	-0.007307	0.041232	-0.030246	-0.029171	-0.026146	0.028295	-0.004047	0.019208	-0.020609	0.018552	-0.026882	-0.019470	-0.010367	-0.002268	0.034506	-0.026666	
_has_part	-0.014447	0.034853	-0.026029	-0.036011	0.016264	0.018800	0.035878	-0.027812	-0.032661	0.023133	0.012486	0.120999	0.000355	-0.018952	-0.149410	-0.030033	-0.006097	-0.003692	0.024664	0.107701	0.086696	0.029117	0.050127	-0.016272	-0.128795	-0.037495	-0.020265	-0.027206	0.016896	0.020138	-0.022349	-0.013441	0.014422	0.029972	-0.214418	-0.085496	0.027126	0.035376	-0.018592	0.009558	-0.002081	0.098405	-0.042075	-0.045246	0.046007	0.031289	-0.003810	0.059485	-0.010177	-0.055170	0.005030	-0.022723	-0.020171	0.045179	0.049904	0.005854	-0.006774	-0.026301	-0.047678	0.023630	-0.018018	0.008203	0.028989	-0.043632	0.045105	-0.023268	-0.029029	-0.050227	-0.017747	0.009356	-0.024131	0.016435	-0.033450	-0.028774	-0.021178	0.006013	0.026369	-0.006973	-0.020337	0.010002	-0.037452	-0.005777	-0.013107	-0.098473	0.010223	-0.046063	0.032903	0.020968	0.026335	-0.027690	0.004608	-0.018716	0.036739	-0.020995	0.025372	0.018243	0.006894	-0.000107	-0.023856	0.023290	
_member_meronym	0.032306	0.041591	0.028130	-0.030796	-0.030962	0.012084	0.019451	0.038414	-0.039982	0.031240	-0.034595	-0.016437	0.021504	0.013984	-0.002109	-0.026099	-0.040694	-0.032991	-0.026272	-0.024469	-0.141111	0.006020	0.018891	-0.041052	-0.002119	0.032786	0.034944	-0.020291	-0.029456	0.047284	0.020934	0.011143	-0.030222	-0.020773	-0.002394	0.024063	0.025415	-0.051665	0.014050	-0.057252	0.034213	0.000678	-0.017081	0.015368	0.053197	-0.055656	-0.041302	0.022706	-0.007450	0.009375	0.020477	0.029387	-0.014023	0.030026	0.122013	0.020492	-0.030251	0.018625	-0.024691	0.045948	0.038776	0.030327	-0.029025	-0.002141	0.024373	-0.021274	-0.010491	0.018585	-0.035454	-0.028243	0.024076	0.010075	-0.028088	0.024633	-0.020901	0.007919	0.015755	-0.006613	0.033299	0.028501	0.023306	-0.030893	0.025837	0.034847	0.022048	-0.031263	0.265327	-0.021346	-0.016479	-0.023596	0.029098	0.042416	-0.011234	-0.014888	-0.028594	-0.003278	-0.010399	-0.028116	0.039123	-0.008494	
_similar_to	-0.003728	-0.000811	-0.003586	-0.010168	0.004161	-0.004872	0.001321	-0.001602	-0.000770	-0.007072	-0.005132	-0.002156	0.003345	-0.003949	-0.007015	-0.002736	0.001964	0.004685	-0.009481	0.005521	0.010144	0.006818	-0.006649	0.002861	0.004733	0.003415	0.004016	0.002814	-0.008637	-0.005011	0.004514	0.002855	-0.011097	0.003637	0.002404	-0.002331	-0.000486	-0.005227	-0.001220	-0.001584	0.006419	0.002100	0.006092	0.001957	-0.002518	0.000624	-0.000204	-0.002264	-0.007058	-0.003739	-0.000959	0.005308	-0.004071	0.001137	-0.006203	0.007181	0.014158	-0.012939	0.002957	0.007343	0.008795	0.000276	0.003486	0.001457	0.006142	0.001034	0.001585	-0.000453	0.006454	0.007663	0.001842	-0.007771	-0.002444	-0.009875	0.000597	-0.002339	-0.006398	0.007548	0.006957	-0.004616	0.002926	0.004586	0.008016	0.001615	-0.007100	-0.002417	-0.002396	0.002910	-0.005832	0.004158	-0.001356	0.009446	0.005342	0.007452	0.001455	0.007158	-0.081509	0.000121	0.004967	-0.003399	
_subordinate_instance_of	0.143865	-0.019946	0.018901	0.022911	0.025625	-0.021189	0.021700	-0.031910	-0.015403	-0.030456	-0.006843	0.025134	-0.097111	-0.027475	0.050606	-0.167200	-0.010121	-0.066299	-0.056862	-0.026725	-0.018302	-0.021161	-0.024992	-0.000064	-0.015493	0.011623	-0.009376	0.009633	-0.023667	0.006957	0.127988	0.019023	-0.044098	0.019554	0.183941	0.025048	0.021078	-0.024384	-0.020114	-0.018630	-0.020512	0.029793	0.015550	-0.161506	-0.019870	-0.029162	0.015000	0.113248	0.016068	-0.029042	0.094766	-0.024656	0.168122	-0.010768	-0.018607	-0.020956	0.019042	0.226132	0.025256	0.019987	-0.016478	-0.022821	0.013835	-0.007867	-0.045530	0.020852	0.141044	0.009570	-0.016537	-0.026084	0.037183	-0.105634	0.022765	-0.004499	0.034493	-0.021410	0.014335	-0.004084	0.005734	-0.013320	0.019784	-0.021909	-0.022562	0.195936	-0.014932	0.018460	0.154408	-0.027348	-0.024355	-0.128392	-0.018453	-0.062620	0.036051	-0.020562	-0.022835	-0.198380	-0.029646	0.031195	-0.021549	-0.013925	
_domain_region	-0.064819	0.079406	-0.078071	-0.050301	-0.027704	-0.037606	-0.020887	0.074248	0.055134	-0.120716	0.019341	0.073086	-0.098449	0.065953	-0.147081	-0.055169	-0.020085	-0.109339	-0.022734	0.050784	0.084935	-0.129336	0.109465	-0.006059	0.055093	0.079060	-0.013867	0.021444	0.007572	0.048119	0.014712	-0.052343	0.013710	0.063092	-0.183568	-0.107989	-0.062720	0.089860	-0.062232	0.013405	-0.001866	-0.030878	0.015234	-0.071229	0.053255	0.081387	-0.050072	-0.107489	0.051765	-0.055842	0.021395	0.072261	0.228810	-0.028708	0.068054	-0.026635	-0.053955	0.019107	-0.108261	-0.052235	-0.021442	0.062424	-0.006094	0.032831	-0.051923	0.051992	-0.058735	-0.061466	0.075816	-0.059883	0.012782	-0.031778	0.041109	-0.010356	-0.037157	0.076889	0.043556	0.057627	0.008962	-0.020858	0.045518	-0.062328	0.062411	-0.211979	0.033267	0.020390	-0.192353	-0.056611	0.001181	-0.028871	0.045858	0.129269	-0.047011	-0.099338	0.054270	-0.013401	-0.073617	-0.060067	-0.065247	-0.054285	
_domain_topic	-0.001538	0.058928	-0.060959	-0.122131	-0.130137	0.032849	-0.062668	-0.000246	0.057239	-0.095203	-0.035510	0.041042	0.008121	-0.020364	-0.062909	-0.048683	-0.106683	0.043262	-0.102433	-0.119741	0.106710	0.098225	0.067022	-0.087286	-0.050917	-0.046114	-0.065009	-0.134761	0.014649	0.048031	-0.050803	-0.052836	-0.019204	0.088341	-0.123289	-0.015287	0.009670	0.083299	-0.102442	-0.061623	-0.057514	-0.000707	-0.046320	-0.114327	0.074212	0.053423	-0.071109	0.067069	0.017878	-0.047351	0.074591	0.006107	-0.119640	0.052312	0.066919	-0.033172	0.016507	0.031783	-0.072521	0.026787	0.053403	0.000113	0.098472	-0.080409	-0.000669	-0.044409	-0.044253	-0.033662	-0.051598	0.023465	-0.026386	0.030965	-0.106821	-0.043822	-0.066403	0.075091	0.048972	0.088442	-0.002826	-0.022260	-0.041055	0.017477	0.005823	-0.123504	-0.051243	-0.072204	-0.009252	0.094713	0.110396	-0.169465	-0.057696	-0.067034	0.010647	0.055761	-0.082657	-0.009823	0.135917	-0.098041	0.015067	0.120948	
